,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
606,Pontiac,1,Monday,Jan,0.5,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,5 years,26 to 30,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
617,Toyota,1,Monday,Jan,1.0,1,Single,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
646,Mazda,1,Tuesday,Jan,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
649,Chevrolet,0,Wednesday,Jan,0.5,1,Married,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
663,VW,1,Friday,Aug,0.0,1,Married,1,Sedan - All Perils,Sedan,60000 to 69000,1.0,0.5,1.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
666,Chevrolet,1,Wednesday,Jan,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,over 65,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
700,Mazda,0,Tuesday,Feb,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
713,Toyota,1,Wednesday,Feb,0.25,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
757,Dodge,1,Tuesday,Feb,0.0,1,Single,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
767,Toyota,1,Wednesday,Jan,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
789,Pontiac,1,Wednesday,Jan,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
796,Mazda,1,Wednesday,Jan,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
798,Chevrolet,1,Wednesday,Feb,0.0,0,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,1 to 2,4 to 8 years,2 vehicles,All Perils,True,Sedan,All Perils,0
813,Mazda,1,Monday,Feb,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,1,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
823,Honda,1,Tuesday,Feb,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
827,Pontiac,1,Tuesday,Apr,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
830,Chevrolet,1,Tuesday,Jan,0.75,1,Married,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
844,Honda,1,Wednesday,Feb,0.25,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
848,Saab,1,Friday,Feb,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
881,Mazda,1,Wednesday,Feb,0.0,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
890,Pontiac,1,Wednesday,Apr,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
894,Nisson,0,Thursday,Feb,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,5 years,26 to 30,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
900,Pontiac,0,Monday,Jan,1.0,1,Single,0,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
905,Toyota,1,Friday,Feb,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
910,Toyota,1,Tuesday,Feb,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,more than 5,1 year,1 vehicle,All Perils,True,Sedan,All Perils,0
936,Chevrolet,1,Thursday,Feb,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
945,Mazda,0,Friday,Mar,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,41 to 50,0,0,0,1 to 2,4 to 8 years,2 vehicles,All Perils,True,Sedan,All Perils,0
949,Pontiac,0,Tuesday,Feb,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
954,Honda,1,Tuesday,Feb,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
960,Toyota,1,Tuesday,Feb,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,1 to 7,8 to 15,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
963,Honda,0,Tuesday,Feb,0.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,3 years,21 to 25,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
967,Pontiac,1,Wednesday,Feb,0.0,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,over 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
998,Pontiac,0,Friday,Feb,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1002,Accura,1,Monday,Feb,0.25,1,Married,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,over 65,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
1020,Mazda,1,Monday,Nov,0.5,1,Married,1,Sedan - Collision,Sedan,30000 to 39000,1.0,0.5,1.0,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
1023,Accura,1,Monday,Feb,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,1.0,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1054,Pontiac,1,Friday,Feb,0.25,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,1.0,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1062,Chevrolet,1,Monday,Feb,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1071,Honda,0,Thursday,Feb,0.25,1,Single,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,16 to 17,0,0,0,none,2 to 3 years,2 vehicles,Collision,True,Sedan,Collision,0
1072,Honda,1,Monday,Feb,0.5,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,more than 4,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1079,Chevrolet,1,Tuesday,Feb,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1088,Honda,0,Monday,Feb,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1114,Pontiac,1,Monday,Feb,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,5 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1147,Honda,1,Monday,Feb,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1167,Toyota,1,Thursday,Feb,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1182,Mazda,1,Wednesday,Mar,0.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,5 years,21 to 25,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sport,Collision,0
1191,Toyota,1,Monday,Feb,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1199,Pontiac,0,Friday,Feb,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1223,Mazda,1,Monday,Feb,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1231,Mazda,1,Thursday,Feb,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1338,Honda,1,Friday,Feb,0.5,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
1394,Toyota,0,Friday,Apr,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,more than 5,no change,3 to 4,Collision,True,Sedan,Collision,0
1396,Pontiac,1,Monday,Mar,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1418,Pontiac,1,Wednesday,Mar,0.0,0,Single,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
1424,Pontiac,0,Wednesday,Mar,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1426,Toyota,1,Wednesday,Mar,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,1.0,0.6666666666666667,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1428,Toyota,1,Friday,Mar,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,2 to 3 years,2 vehicles,All Perils,True,Sedan,All Perils,0
1436,Chevrolet,0,Tuesday,Oct,0.25,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1456,Honda,1,Tuesday,Feb,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,new,16 to 17,0,0,0,none,1 year,1 vehicle,All Perils,True,Sedan,All Perils,0
1481,Accura,1,Friday,Apr,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1483,Honda,1,Wednesday,Mar,0.0,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1520,Pontiac,1,Monday,Apr,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1555,Honda,1,Monday,Mar,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,new,16 to 17,1,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1558,Pontiac,1,Thursday,Mar,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,over 65,0,0,0,more than 5,no change,3 to 4,Collision,True,Sedan,Collision,0
1587,Pontiac,1,Monday,Feb,1.0,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,5 years,26 to 30,1,1,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
1598,Honda,1,Tuesday,Mar,0.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,8 to 15,15 to 30,none,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
