Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,PolicyMismatchFlag
Honda,0,Wednesday,Feb,0.0,1,Single,1,Sedan - Collision,Sedan,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,Collision,0
Ford,1,Thursday,Feb,0.0,1,Married,0,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,Liability,1
Ford,1,Monday,Aug,1.0,1,Single,0,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Liability,1
Ford,1,Wednesday,May,0.0,1,Married,0,Sedan - All Perils,Sedan,more than 69000,0.0,0.25,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,0
Chevrolet,1,Wednesday,Aug,0.0,0,Married,1,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,0
Pontiac,1,Monday,May,1.0,1,Single,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Liability,1
Honda,1,Tuesday,May,0.0,1,Married,1,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Liability,1
Mazda,1,Tuesday,May,0.0,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,Liability,1
Chevrolet,1,Monday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,4 to 8 years,2 vehicles,Collision,0
Mazda,1,Thursday,Aug,1.0,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,1 to 2,no change,1 vehicle,Liability,1
Pontiac,1,Tuesday,Jun,0.5,1,Single,1,Sedan - Liability,Sport,30000 to 39000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Liability,1
Mazda,1,Friday,Sep,0.5,1,Married,0,Sedan - All Perils,Sedan,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,more than 7,36 to 40,1,0,0,none,no change,1 vehicle,All Perils,0
Pontiac,1,Tuesday,Apr,0.0,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,Liability,1
Honda,1,Thursday,Jun,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,0.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,5 years,26 to 30,0,0,0,more than 5,no change,1 vehicle,Collision,0
Accura,1,Friday,May,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,0.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,0
Honda,1,Tuesday,Sep,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,0
Mazda,1,Wednesday,May,0.75,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,0
Dodge,1,Saturday,Mar,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,1,none,no change,1 vehicle,Collision,0
Honda,1,Tuesday,Mar,0.25,1,Single,0,Sedan - Collision,Sedan,more than 69000,0.0,0.25,0.0,more than 30,more than 30,1,new,16 to 17,0,0,0,none,no change,1 vehicle,Collision,0
Chevrolet,1,Wednesday,Mar,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Collision,0
Honda,1,Tuesday,Jan,0.75,1,Single,1,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,0
Ford,1,Wednesday,Jan,0.75,1,Married,0,Utility - All Perils,Utility,more than 69000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,0
Chevrolet,1,Thursday,Oct,0.25,1,Single,1,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Liability,1
Honda,1,Thursday,Oct,0.5,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,0
Mazda,1,Friday,Sep,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,0.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,0
Honda,1,Thursday,Nov,0.75,1,Married,0,Sport - Collision,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,0
Toyota,1,Tuesday,Jan,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,0
Chevrolet,1,Wednesday,Apr,0.0,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,0
Pontiac,1,Wednesday,Mar,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,3 to 5,no change,3 to 4,All Perils,0
Toyota,1,Monday,Jul,0.0,0,Single,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,none,4 years,36 to 40,0,0,0,none,4 to 8 years,2 vehicles,Liability,1
Honda,1,Monday,Jan,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,0
Toyota,1,Wednesday,Jan,0.75,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,none,more than 7,over 65,0,0,0,none,no change,1 vehicle,Collision,0
Pontiac,1,Thursday,Feb,0.25,0,Married,1,Sedan - All Perils,Sedan,less than 20000,0.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,0
Pontiac,1,Monday,Feb,0.5,1,Single,1,Sedan - Collision,Sedan,30000 to 39000,0.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,1,none,no change,1 vehicle,Collision,0
Mazda,1,Friday,Nov,0.75,1,Married,0,Sedan - Liability,Sport,30000 to 39000,0.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Liability,1
Chevrolet,1,Thursday,May,0.0,0,Married,0,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Liability,1
Pontiac,1,Tuesday,Apr,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,51 to 65,0,0,0,3 to 5,no change,1 vehicle,Collision,0
Pontiac,1,Friday,May,0.75,1,Married,0,Sedan - Liability,Sport,30000 to 39000,0.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Liability,1
Pontiac,1,Friday,Jun,0.75,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.5,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,3 to 5,2 to 3 years,1 vehicle,Liability,1
Honda,0,Wednesday,Jan,0.75,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,4 years,26 to 30,0,0,0,3 to 5,no change,1 vehicle,Collision,0
Honda,1,Wednesday,Aug,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,0
Pontiac,1,Tuesday,Jun,0.75,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,0.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,0
Mazda,1,Wednesday,Dec,0.5,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,3 to 5,no change,1 vehicle,All Perils,0
Honda,1,Thursday,Jun,1.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,0
Accura,1,Monday,Nov,0.25,1,Single,0,Sedan - Collision,Sedan,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,0
Honda,0,Wednesday,May,0.75,1,Single,0,Sedan - Liability,Sport,more than 69000,0.0,0.25,1.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,Liability,1
Chevrolet,1,Monday,May,0.25,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,0
Toyota,1,Monday,Nov,0.5,1,Single,0,Sedan - All Perils,Sedan,30000 to 39000,0.0,0.25,1.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,0
Pontiac,1,Friday,Jan,0.75,1,Married,0,Utility - Collision,Utility,40000 to 59000,0.0,0.25,1.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,0
Honda,1,Friday,Jan,0.5,1,Single,1,Sedan - All Perils,Sedan,more than 69000,0.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,0
Toyota,1,Tuesday,Mar,0.0,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,4 to 8 years,2 vehicles,Liability,1
Pontiac,1,Tuesday,Dec,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,0
Mazda,1,Monday,Jan,0.25,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,0
Mercury,1,Friday,Mar,0.5,1,Single,1,Sedan - Collision,Sedan,more than 69000,0.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,0
Mazda,1,Monday,Aug,1.0,1,Married,0,Sedan - Liability,Sport,30000 to 39000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,Liability,1
Toyota,1,Tuesday,Jan,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,Collision,0
Honda,1,Wednesday,Jan,0.0,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,more than 5,no change,1 vehicle,Liability,1
Honda,1,Wednesday,Jan,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Collision,0
Mazda,1,Thursday,Jan,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,0
Chevrolet,1,Monday,Jan,1.0,0,Single,1,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,15 to 30,more than 30,1,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,0
Honda,1,Tuesday,Jan,0.0,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,0
Mazda,1,Tuesday,May,0.0,1,Married,1,Sedan - Collision,Sedan,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,7 years,51 to 65,0,0,0,more than 5,no change,1 vehicle,Collision,0
Ford,1,Wednesday,Aug,0.75,1,Married,1,Sedan - Collision,Sedan,30000 to 39000,0.0,0.25,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,0
Chevrolet,1,Monday,Jan,0.0,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,0
Honda,1,Tuesday,Feb,0.5,0,Married,1,Sport - Collision,Sport,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,0
Jaguar,0,Tuesday,Feb,0.5,0,Single,0,Sedan - Liability,Sport,30000 to 39000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Liability,1
Toyota,1,Friday,Mar,0.0,0,Married,1,Sedan - Collision,Sedan,30000 to 39000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,0
Pontiac,1,Wednesday,Jan,0.5,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Liability,1
Mazda,1,Friday,Jan,0.75,1,Single,1,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Liability,1
Chevrolet,1,Thursday,Apr,0.5,1,Married,1,Sedan - All Perils,Sedan,more than 69000,0.0,0.25,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,3 to 4,All Perils,0
Toyota,1,Friday,Feb,0.0,0,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Liability,1
Honda,1,Monday,Jan,0.0,1,Single,0,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,new,16 to 17,0,0,0,none,4 to 8 years,2 vehicles,Liability,1
Chevrolet,0,Tuesday,Mar,0.0,1,Married,0,Utility - Liability,Utility,more than 69000,0.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Liability,0
Toyota,1,Wednesday,May,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,0
Mazda,1,Wednesday,May,0.75,1,Single,1,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,4 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,0
Pontiac,1,Monday,Oct,1.0,1,Married,1,Sedan - All Perils,Sedan,30000 to 39000,0.0,0.25,1.0,more than 30,more than 30,none,7 years,over 65,0,0,0,3 to 5,no change,1 vehicle,All Perils,0
Honda,1,Monday,Oct,0.75,1,Single,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,4 years,26 to 30,0,0,0,none,no change,1 vehicle,Liability,1
Honda,1,Tuesday,Oct,0.75,0,Single,1,Sport - Collision,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,none,6 years,26 to 30,0,0,0,more than 5,no change,1 vehicle,Collision,0
Pontiac,1,Wednesday,Jan,0.25,1,Single,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,7 years,36 to 40,0,0,0,3 to 5,1 year,1 vehicle,Liability,1
Honda,1,Monday,Jan,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,0
Pontiac,1,Monday,Aug,1.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,1.0,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,0
Honda,1,Friday,Jan,0.5,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,0
Honda,1,Thursday,May,0.25,1,Married,1,Sedan - Collision,Sedan,30000 to 39000,0.0,0.25,1.0,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,Collision,0
Toyota,1,Tuesday,Jan,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,0
Toyota,1,Monday,Jan,0.75,1,Single,0,Sedan - All Perils,Sedan,less than 20000,0.0,0.25,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,0
Pontiac,1,Wednesday,Jan,0.75,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,0
Pontiac,1,Monday,Jan,1.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,0
Chevrolet,1,Wednesday,Jan,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,more than 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,0
Pontiac,1,Monday,Jan,1.0,0,Married,1,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,0
Ford,1,Monday,Feb,0.0,0,Married,0,Sedan - All Perils,Sedan,more than 69000,0.0,0.5,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,36 to 40,1,0,0,3 to 5,no change,1 vehicle,All Perils,0
Mazda,1,Tuesday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,All Perils,0
Pontiac,1,Thursday,Jan,0.0,1,Single,1,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,0
Dodge,1,Saturday,Dec,0.5,1,Married,0,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,1 to 2,4 to 8 years,2 vehicles,Liability,1
Mazda,1,Thursday,Aug,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,0
Pontiac,1,Thursday,Apr,0.25,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,0
Chevrolet,1,Thursday,Oct,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,0
Honda,1,Friday,Mar,0.0,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,1.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Liability,1
Toyota,1,Friday,Sep,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Collision,0
Pontiac,1,Thursday,May,0.25,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,0
Honda,1,Thursday,Dec,1.0,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,0
Accura,0,Tuesday,Jan,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,0
Chevrolet,1,Wednesday,Jan,0.0,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,0
Honda,1,Wednesday,Jan,0.25,1,Single,1,Sport - Collision,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,4 years,18 to 20,0,0,0,3 to 5,no change,1 vehicle,Collision,0
Pontiac,1,Tuesday,Nov,1.0,1,Married,1,Sedan - Collision,Sedan,30000 to 39000,0.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,1,0,more than 5,no change,1 vehicle,Collision,0
Pontiac,1,Tuesday,Aug,1.0,1,Single,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Liability,1
Mazda,1,Wednesday,Dec,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,over 65,0,0,0,none,no change,1 vehicle,All Perils,0
Honda,0,Friday,Dec,0.5,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,0
Honda,0,Friday,Mar,0.5,1,Single,0,Sedan - All Perils,Sedan,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,0
